CustomerID,FirstName,LastName,Email,Country,City,SignupDate,CustomerSegment,Newsletter_Opt_In
CUST-00001,Danielle,Johnson,john21@example.net,United States,New Roberttown,2020-04-01,Wholesale,Yes
CUST-00002,Clayton,Hall,hoffmanjennifer@example.net,Canada,Robinsonshire,2021-07-03,Wholesale,Yes
CUST-00003,Joshua,Booth,helenpeterson@example.org,Saudi Arabia,Port Matthew,2025-08-15,Retail,Yes
CUST-00004,Christopher,Davis,cassandra07@example.net,Germany,South Christianport,2021-06-14,Retail,Yes
CUST-00005,Maria,Montgomery,barbara10@example.net,Germany,Port Keith,2025-04-17,Wholesale,No
CUST-00006,Christopher,Hall,jamesshawn@example.com,United Arab Emirates,West Michael,2021-06-21,Retail,Yes
CUST-00007,Elizabeth,Miles,lynchgeorge@example.net,Saudi Arabia,East Steven,2020-10-15,Retail,Yes
CUST-00008,Joseph,Schaefer,gabriellecameron@example.org,Australia,Port Antonio,2021-05-31,Retail,No
CUST-00009,Leslie,Adams,robinbradley@example.net,Australia,Jasonfort,2020-02-01,Wholesale,No
CUST-00010,Randall,Rocha,ithomas@example.org,United Arab Emirates,Juliechester,2019-06-27,Retail,No
CUST-00011,Rachael,Ross,wendytaylor@example.com,India,Port Brandonville,2019-11-19,Retail,No
CUST-00012,Eric,Moore,ycarlson@example.com,Germany,Riceside,2025-06-22,Wholesale,Yes
CUST-00013,Michelle,Smith,maldonadoamanda@example.com,France,Danielchester,2021-07-22,VIP,Yes
CUST-00014,Eric,Smith,teresa28@example.org,Saudi Arabia,Meaganhaven,2020-02-18,Retail,No
CUST-00015,Chelsea,Hernandez,amberosborne@example.net,Australia,New Mariotown,2020-10-28,Retail,No
CUST-00016,Daniel,Cox,john39@example.org,Brazil,Lake Toddland,2019-10-20,Retail,Yes
CUST-00017,Tiffany,Patel,davidalvarez@example.net,United Arab Emirates,West Allison,2020-10-31,Retail,Yes
CUST-00018,Catherine,Brandt,jenniferross@example.net,United States,Samuelhaven,2022-08-21,Retail,Yes
CUST-00019,Shannon,Wright,morganbrianna@example.org,Saudi Arabia,North Chad,2022-07-16,Retail,Yes
CUST-00020,Crystal,Perez,heathchad@example.org,Australia,Elizabethborough,2025-05-12,Retail,No
CUST-00021,Amber,Cummings,esanchez@example.com,United Arab Emirates,North Collin,2023-06-09,Retail,Yes
CUST-00022,Ryan,Henderson,dshields@example.net,India,North Richardmouth,2021-10-07,Retail,No
CUST-00023,Lauren,Rodriguez,jameswest@example.com,Saudi Arabia,West Steven,2025-07-18,Retail,Yes
CUST-00024,Nancy,Jones,williamsyvette@example.org,United Arab Emirates,Port Melindaburgh,2024-09-18,Retail,Yes
CUST-00025,Richard,Olson,kbarrera@example.com,Canada,South Josephmouth,2020-03-25,Retail,No
CUST-00026,Justin,Horton,smoore@example.org,United Kingdom,New Jillton,2025-09-08,Retail,No
